店舗ID,店舗名,店舗名カナ,緯度,軽度,店舗URL,ドリンクURL,住所,電話番号,平均予算,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
getz305,地鶏専門店×贅沢個室 鳥桜 八王子駅前店,ジドリセンモンテンゼイタクコシツトリザクラ ハチオウジエキマエテン,35.658226,139.338186,https://r.gnavi.co.jp/m6nvb4y50000/?ak=%2BjI6%2BhHeqQRpVvfkPKrrdQhsI9r7cy797TxUCR1%2FGJo%3D,https://r.gnavi.co.jp/getz305/menu3,〒192-0082 東京都八王子市東町12-14 4F,050-3469-3724,2780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
飲み放題メニュー,飲み放題メニュー,黒枝豆,きゅうりの特製,だし巻き玉子,有機トマトの丸ごとスライス,たこわさび,ピリ辛冷奴,漬物盛り合わせ,マグロとアボカド美味しいサラダ,アボカドと生ハムイタリアンサラダ,カリカリじゃこ大根サラダ,鶏と水菜のサラダ,黒豚しゃぶしゃぶ胡麻和えサラダ,特選お刺身2種盛合せ,特選お刺身3種盛合せ,炙りしめサバ,サーモン刺身,タコ刺身,熊本！馬刺し,馬刺し2種盛合せ,馬刺し3種盛合せ,カツオタタキ,黒豚タンの炭火焼き,黒豚,黒豚のトロトロ角煮,牛ロースのひびき柚子ソテー,地鶏のチキン南蛮,照り焼きチキン,ほくほくハッシュポテトの明太チーズ焼き,地鶏の砂肝ピリ辛炒め,豚肉のキムチ炒め,地鶏の唐揚げ,手羽先にんにく揚げ,明石の揚げたこ焼き,鶏軟骨唐揚げ,自家製さつま揚げ,鶏軟骨唐揚げ,ぼんじり唐揚げ,地鶏の唐揚げ,イカゲソ唐揚げ,カリカリポテトフライ,レンコンチップス,串焼き正肉（もも肉）/なんこつ/ぼんじり/鶏かわ　各種（1本）,串焼。きねぎま/砂肝/豚バラ串/各種（1本）,エリンギ/しいたけ串各種（1本）,白ネギ肉まき,トマトの肉巻き,串焼。白ネギ/にんにく各種（1本）,地鶏の焼き鳥　7本盛合せ,地鶏の焼き鳥　12本盛合せ,焼き鳥つくね5本盛合せ,焼き鳥つくね(2本),エイヒレの炙り焼き,もちお餅の焼き,厚切りベーコンの黒こしょう焼き/するめいかの一夜干し,鉄板ナポリタンスパゲッティ/きのこたっぷり醤油スパゲティ,豚肉ミルフィーユ鍋,豚バラ肉と豆腐チゲ鍋,和牛すき焼き鍋,野菜の盛り合わせ,豚バラ,鶏肉,牛ホルモンミックス,キムチ,ラーメン・うどん。おじや,抹茶アイス/バニラアイス,ワッフル,チョコレートわらび餅,,,,,,,,,,,,,,,,,
380,390,430,430,430,420,450,680,680,600,600,730,980,1280,560,620,620,710,1280,1580,580,680,720,680,780,680,690,720,760,750,630,650,530,530,530,590,550,680,500,450,480,130,150,120,280,260,110,940,1590,980,400,460,390,650,720,1260,1160,1260,450,320,300,450,180,250,430,480,480,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ge82800,割烹伊奈喜,カッポウイナキ,35.660013,139.329991,https://r.gnavi.co.jp/a3jfs6zj0000/?ak=%2BjI6%2BhHeqQRpVvfkPKrrdQhsI9r7cy797TxUCR1%2FGJo%3D,https://r.gnavi.co.jp/ge82800/menu3,〒192-0071 東京都八王子市八日町5-17,050-3490-6850,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黒龍,田酒,日高見,作,瓶ビール,ノンアルコールビール,竹鶴,竹鶴ハイボール,麦/芋,ゆずワイン,梅酒,ノンアルコールカクテル,はちみつ柚子酢,果実カルピス,ウーロン茶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,600,650,600,700,500,650,650,600,4000,600,600,600,400,400,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ggyn100,2000円 食べ放題飲み放題 薫仙 八王子店,ニセンエンタベホウダイノミホウダイ クンセンハチオウジテン,35.658209,139.338186,https://r.gnavi.co.jp/juthu89b0000/?ak=%2BjI6%2BhHeqQRpVvfkPKrrdQhsI9r7cy797TxUCR1%2FGJo%3D,https://r.gnavi.co.jp/ggyn100/menu2,〒192-0082 東京都八王子市東町12-14 5F,050-3373-5403,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
飲み放題メモ,飲み放題メモ,ザ・プレミアム・モルツ,スーパードライ,ラガー瓶,金麦　<樽詰>,オールフリー(ノンアルコール）,ホッピー,生レモンサワー,生グレープフルーツサワー,レモンサワー,グレープフルーツサワー,シークワーサーサワー,梅サワー,ゆずはちみつサワー,ピーチサワー,巨峰サワー,カルピスサワー,リアルゴールドサワー,ジムビームハイボール,コーラハイボール,ジンジャーハイボール,レモンハイボール,グレープフルーツハイボール,ピーチハイボール,巨峰ハイボール,ゆずハイボール,梅ハイボール,シークワーサーハイボール,リアルゴールドハイボール,中々,富乃宝山,黒霧島,一刻者,鳥飼,赤霧島,ウーロンハイ,緑茶ハイ,トマトハイ,ガリチューハイ,ゆず酒,巨峰酒,桃ライチ酒,桃花酒,杏酒,ライチ酒,南高梅梅酒,黒糖梅酒,ゆず梅酒,カルロ　ロッシ　（赤・白）,サングリア　（赤・白）,キティ,ムラサキ,キール,オベレーター,ジントニック/ジンバック,モスコミュール,カシス,ファジーネーブル,ピーチウーロン,マリブ,ライチ,マンゴー,カルーアミルク,シャンディガフ,レッドアイ,★ケーキ＆メッセージプレート★,,,,,,,,,,,,,,,,,,,
450,500,500,400,450,400,500,550,350,350,350,350,350,350,350,350,350,380,380,380,380,380,380,380,380,380,380,380,500,500,500,500,500,550,350,350,350,350,450,450,450,450,450,450,450,450,450,450,450,500,500,500,500,400,400,400,400,400,400,400,400,400,400,400,,,,,,,,,,,,,,,,,,,,,,
